Матрица B1:
9	-6	6	-8	-6	9	8	10	-1	7	
-2	-1	-2	3	5	4	5	-1	6	-6	
-1	0	-7	-6	-6	-8	-10	-3	7	-4	
-8	-8	-3	-2	-6	-3	0	-5	-1	-7	
-1	9	-1	10	9	-9	-5	-9	7	6	
-3	5	0	0	4	9	-7	9	3	-4	
0	4	-9	-8	-1	-5	-4	-5	0	0	
2	6	9	6	0	-7	-2	-7	0	-6	
-1	-6	-6	3	9	10	2	3	-4	-3	
8	-6	5	-8	-6	3	-9	5	-2	10	

Матрица B2:
9	-6	6	-8	-6	9	8	10	-1	7	
-2	-1	-2	3	5	4	5	-1	6	-6	
-1	0	-7	-6	-6	-8	-10	-3	7	-4	
-8	-8	-3	-2	-6	-3	0	-5	-1	-7	
-1	9	-1	10	9	-9	-5	-9	7	6	
-3	5	0	0	4	9	-7	9	3	-4	
0	4	-9	-8	-1	-5	-4	-5	0	0	
2	6	9	6	0	-7	-2	-7	0	-6	
-1	-6	-6	3	9	10	2	3	-4	-3	
8	-6	5	-8	-6	3	-9	5	-2	10	

Матрица C_block = B1 * B2:
207	63	113	-233	-149	69	-168	175	-20	72	
-111	68	-130	89	147	0	-6	-67	14	-79	
31	-116	68	117	95	176	244	95	-128	16	
-87	21	-73	25	5	-43	48	-29	-92	-43	
-65	-199	-104	70	74	19	63	-89	34	56	
-85	126	74	230	173	28	-30	-29	84	-166	
71	-20	71	74	97	131	176	82	-53	112	
-92	-115	-156	-42	-62	-70	81	-77	82	-90	
-68	187	48	124	95	-65	-88	-50	35	10	
232	-71	243	-140	-171	133	-75	246	-46	156	

Матрица D_block = B1 почленное умножение B2:
81	36	36	64	36	81	64	100	1	49	
4	1	4	9	25	16	25	1	36	36	
1	0	49	36	36	64	100	9	49	16	
64	64	9	4	36	9	0	25	1	49	
1	81	1	100	81	81	25	81	49	36	
9	25	0	0	16	81	49	81	9	16	
0	16	81	64	1	25	16	25	0	0	
4	36	81	36	0	49	4	49	0	36	
1	36	36	9	81	100	4	9	16	9	
64	36	25	64	36	9	81	25	4	100	

Матрица E_block = транспонированная(B1):
9	-2	-1	-8	-1	-3	0	2	-1	8	
-6	-1	0	-8	9	5	4	6	-6	-6	
6	-2	-7	-3	-1	0	-9	9	-6	5	
-8	3	-6	-2	10	0	-8	6	3	-8	
-6	5	-6	-6	9	4	-1	0	9	-6	
9	4	-8	-3	-9	9	-5	-7	10	3	
8	5	-10	0	-5	-7	-4	-2	2	-9	
10	-1	-3	-5	-9	9	-5	-7	3	5	
-1	6	7	-1	7	3	0	0	-4	-2	
7	-6	-4	-7	6	-4	0	-6	-3	10	

Матрица F_block = B1 elemMult B2 (замена elemDiv для целых чисел):
81	36	36	64	36	81	64	100	1	49	
4	1	4	9	25	16	25	1	36	36	
1	0	49	36	36	64	100	9	49	16	
64	64	9	4	36	9	0	25	1	49	
1	81	1	100	81	81	25	81	49	36	
9	25	0	0	16	81	49	81	9	16	
0	16	81	64	1	25	16	25	0	0	
4	36	81	36	0	49	4	49	0	36	
1	36	36	9	81	100	4	9	16	9	
64	36	25	64	36	9	81	25	4	100	

Матрица G_block = B1 + B2:
18	-12	12	-16	-12	18	16	20	-2	14	
-4	-2	-4	6	10	8	10	-2	12	-12	
-2	0	-14	-12	-12	-16	-20	-6	14	-8	
-16	-16	-6	-4	-12	-6	0	-10	-2	-14	
-2	18	-2	20	18	-18	-10	-18	14	12	
-6	10	0	0	8	18	-14	18	6	-8	
0	8	-18	-16	-2	-10	-8	-10	0	0	
4	12	18	12	0	-14	-4	-14	0	-12	
-2	-12	-12	6	18	20	4	6	-8	-6	
16	-12	10	-16	-12	6	-18	10	-4	20	

Матрица H_block = B1 - B2:
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	
